发文原始时间,发文日期,发文时间 HH:MM:SS,发布者名字,内容信息,机翻内容,被提及人,频道
2022-08-01 07:46:10,2022-08-01,07:46:10,Po-tato,Didn't get to even download the game, ,,general-chat
2022-08-01 07:36:48,2022-08-01,07:36:48,PorterEva,well at least the majority i assume, ,,general-chat
2022-08-01 07:36:36,2022-08-01,07:36:36,PorterEva,looks like everyone enjoyed the test, ,,general-chat
2022-08-01 06:52:01,2022-08-01,06:52:01,I Ryuuka I,I met you briefly at a hostage mission 🤣 nice I used to have ROG phone 3 same one but my screen died 🤣🤣, ,Ðarkhirøs,feedback-and-bugs
2022-08-01 06:50:41,2022-08-01,06:50:41,I Ryuuka I,Amazing platest enjoyed every minute of it even redownloaded the division 1 on my PC gonna start again on that in the meantime before the next test, ,,general-chat
2022-08-01 06:41:38,2022-08-01,06:41:38,battlebot579,Healing build sounded so fun from what gregg told me abt it, ,,ask-the-team
2022-08-01 06:40:51,2022-08-01,06:40:51,battlebot579,I never got to play  , ,Cafearmuire,ask-the-team
2022-08-01 06:40:29,2022-08-01,06:40:29,Cafearmuire,Ok done........ But I miss it already.😢, ,battlebot579,ask-the-team
2022-08-01 06:37:46,2022-08-01,06:37:46,battlebot579,Yes you got to uninstall now the servers closed, ,Cafearmuire,ask-the-team
2022-08-01 06:36:53,2022-08-01,06:36:53,Ghoul,😄 Just messing with you ❤️, ,battlebot579,general-chat
2022-08-01 06:36:48,2022-08-01,06:36:48,battlebot579,It will be when I get my hands on it, ,shayanjoon,general-chat
2022-08-01 06:36:22,2022-08-01,06:36:22,shayanjoon,Best mobile game i've played!, ,,general-chat
2022-08-01 06:36:15,2022-08-01,06:36:15,battlebot579,"Just bc I didnt play doesnt mean I dont know, the trailers showed plenty, plus I saw little snippets from the footage I reported to James, cant confirm it breaks NDA unless I boot it up for the two seconds it takes to go, ah yep theres you player ID kekw", ,Ghoul,general-chat
2022-08-01 06:33:41,2022-08-01,06:33:41,Cafearmuire,"Please remind me: Now that the  server is closed, we have to un-install the game right?", ,,ask-the-team
2022-08-01 06:33:35,2022-08-01,06:33:35,battlebot579,Div 3 will be like hitman 3 where you get a new story but they also rework the older mechanics (and include the original games as a dlc), ,,general-chat
2022-08-01 06:33:31,2022-08-01,06:33:31,catnip,"nah, this is div 0.5, we're a 1st wave agent but past the main events", ,,general-chat
2022-08-01 06:33:13,2022-08-01,06:33:13,Ghoul,"you dont know, you didnt play", ,battlebot579,general-chat
2022-08-01 06:32:43,2022-08-01,06:32:43,Ghoul,"I dont mind spending some cash on games. But more often then not it's an endless money pit where only the ""whales"" can invest enough to be #1", ,,general-chat
2022-08-01 06:32:37,2022-08-01,06:32:37,battlebot579,This is a bit of a div 0, ,catnip,general-chat
2022-08-01 06:31:28,2022-08-01,06:31:28,battlebot579,"I dont spend on things within games I can get for free, but that is the luxury of siege and the division games", ,catnip,general-chat
2022-08-01 06:31:09,2022-08-01,06:31:09,catnip,"div3 should be div0, be about 1st wave with ability to go rogue", ,,general-chat
2022-08-01 06:30:15,2022-08-01,06:30:15,battlebot579,"Also, if they do stack it that could have a knock on effect with div universe and prospects of a div 3", ,Ghoul,general-chat
2022-08-01 06:30:06,2022-08-01,06:30:06,catnip,"maybe i shouldn't say it, especially at this early stage, but this game already feels like something i'd be willing to put some money into", ,,general-chat
2022-08-01 06:29:33,2022-08-01,06:29:33,catnip,"thanks, i can't wait", ,,general-chat
2022-08-01 06:28:53,2022-08-01,06:28:53,Ghoul,"Yes, agreed. And the Division is simply not as popular as Diablo, they playerbase will abandon it if the P2W is too strong in this game", ,battlebot579,general-chat
2022-08-01 06:28:18,2022-08-01,06:28:18,battlebot579,  what I reckon, ,catnip,general-chat
2022-08-01 06:27:15,2022-08-01,06:27:15,battlebot579,"Hopefully it will be typical division style, and they will not make it a p2w gameI can tell you now this game will lose all respect it has right now if it turns out anything like diablo or marvel future revolution", ,Ghoul,general-chat
2022-08-01 06:27:13,2022-08-01,06:27:13,Cafearmuire,"Enjoyed it very much. Although the game seems to crash when you're in the open world or the different base of operations, the checkpoint system the game is based on prevent you from losing your progression. I hope the the stability will be fixed.Although the control system doesn't allow a rush approach during mission, being a slow and careful player, it didn't bother me at all.Thanks for this opportunity to play the game early and I hope you make the beta version available to test.", ,,general-chat
2022-08-01 06:27:03,2022-08-01,06:27:03,catnip,"guys, i need another alpha, when?!?!", ,,general-chat
2022-08-01 06:19:45,2022-08-01,06:19:45,Ghoul,"But in all honesty, i hope you don't over monetize this end-game like Immortal. And make it bearable for us F2P players", ,,general-chat
2022-08-01 06:18:51,2022-08-01,06:18:51,Ðarkhirøs,2 incoming bug reports pendingdarkhirosrog phone 3 12gb 512gbthe first one happened during the main mission at one point I had to open an elevator to go down and an interaction was to launch at the same time and that my glyce in the doors and impossible to go out apart by teleporting to another place and start all over againthe 2nd during a fight I remained stuck in crosshair mode the whole game until I reset the game, ,,feedback-and-bugs
2022-08-01 06:17:01,2022-08-01,06:17:01,Ghoul,"Enjoyed it very much, thanks for the opportunity to play this game early!", ,Frays,general-chat
2022-08-01 06:13:46,2022-08-01,06:13:46,KarateEmil,"Same, I usually play games on my phone to make the time go by, however this game just kept making me turn on my phone everyday.in this play test, I had a 3 day streak where I was only playing on my phone, didn't even play on my PC", ,,general-chat
2022-08-01 06:13:03,2022-08-01,06:13:03,Riggy Gaming,So far, ,,general-chat
2022-08-01 06:12:56,2022-08-01,06:12:56,Riggy Gaming,Great work from Ubi with this mobile game 👏👏, ,,general-chat
2022-08-01 06:12:34,2022-08-01,06:12:34,Riggy Gaming,100% 😎, ,Frays,general-chat
2022-08-01 06:11:26,2022-08-01,06:11:26,scoure,"It really was super fun. I normally don't play in the smartphone, but the division has changed that.", ,,general-chat
2022-08-01 06:09:34,2022-08-01,06:09:34,battlebot579,I am guessing next month but I dont know As we are playing a similar/the same build but with more phones it has to be fairly soon, ,,general-chat
2022-08-01 06:08:45,2022-08-01,06:08:45,KarateEmil,"well this was super fun, can't wait for the next play test, whenever that will be", ,,general-chat
2022-08-01 06:08:08,2022-08-01,06:08:08,KarateEmil,true, ,,general-chat
2022-08-01 06:07:51,2022-08-01,06:07:51,Gregg2G,Also some more dependent on sets than others., ,,general-chat
2022-08-01 06:07:50,2022-08-01,06:07:50,battlebot579,I will take a hunter to make up for it :)) Usable axe as kill rewardand obvs also the James hunter with James beard as reward, ,SQ,general-chat
2022-08-01 06:07:25,2022-08-01,06:07:25,Gregg2G,I played all 4 classes and all 8 specs and I honestly thing all 8 are very strong. Some are just later bloomers and some are early bloomers., ,,general-chat
2022-08-01 06:06:36,2022-08-01,06:06:36,battlebot579,😂 I think James tried probing the techs about my phone type but I dont think he got anywhere, ,SQ,general-chat
2022-08-01 06:06:21,2022-08-01,06:06:21,Frays,"Well, I hope that all those who were able to play had fun 🙂", ,,general-chat
2022-08-01 06:05:55,2022-08-01,06:05:55,KarateEmil,"I mostly played with the Shield and Grenade Launcher, the grenade launcher class is more or less like the one in TD2, but the shield, god damn that can be so broken, especially if you got the bullet king LMG", ,battlebot579,general-chat
2022-08-01 06:05:50,2022-08-01,06:05:50,battlebot579,"eh, next one will be exactly the same 😂 maybe a few changes here and there some more players", ,Ghoul,general-chat
2022-08-01 06:05:26,2022-08-01,06:05:26,SQ,Yeh UBI shoud gave you a build, ,,general-chat
2022-08-01 06:05:18,2022-08-01,06:05:18,Ghoul,"Sad, you really missed something special!", ,,general-chat
2022-08-01 06:04:52,2022-08-01,06:04:52,battlebot579,then I just gave up 😂, ,,general-chat
2022-08-01 06:04:39,2022-08-01,06:04:39,battlebot579,I tried looking at bluestacks but even if it did work my laptop is god awful so I wouldnt have been able to play, ,Ghoul,general-chat
2022-08-01 06:03:55,2022-08-01,06:03:55,Ghoul,"You were so hyped for this game, cant imagine you didnt try everything to play 😄", ,,general-chat
2022-08-01 06:03:54,2022-08-01,06:03:54,battlebot579,My xperia 10 III is not compatible so its not compatible, ,,general-chat
2022-08-01 06:03:25,2022-08-01,06:03:25,battlebot579,just because you played with an APK doesnt mean that I have to, ,Ghoul,general-chat
2022-08-01 06:03:05,2022-08-01,06:03:05,battlebot579,gonna be op in dz 😂, ,,general-chat
2022-08-01 06:02:43,2022-08-01,06:02:43,battlebot579,and also gregg told me about healy boi and it sounds way too strong, ,,general-chat
2022-08-01 06:02:23,2022-08-01,06:02:23,Ghoul,https://tenor.com/view/sure-jan-if-you-say-so-whatever-do-gif-12806724, ,battlebot579,general-chat
2022-08-01 06:02:21,2022-08-01,06:02:21,battlebot579,I am omnipotent, ,,general-chat
2022-08-01 06:02:12,2022-08-01,06:02:12,battlebot579,I just know, ,,general-chat
2022-08-01 06:02:12,2022-08-01,06:02:12,Gregg2G,Was great to interact with the team here btw. Good times. :D, ,,general-chat
2022-08-01 06:02:06,2022-08-01,06:02:06,battlebot579,I didnt play, ,Ghoul,general-chat
2022-08-01 06:01:48,2022-08-01,06:01:48,Ghoul,"You dont know, you didnt play... Or did you 😮", ,battlebot579,general-chat
2022-08-01 06:01:20,2022-08-01,06:01:20,Ghoul,Yes indeed!, ,,general-chat
2022-08-01 06:01:18,2022-08-01,06:01:18,battlebot579,💯, ,KarateEmil,general-chat
2022-08-01 06:01:07,2022-08-01,06:01:07,Ghoul,https://tenor.com/view/office-server-power-lady-unplug-gif-8220789, ,,general-chat
2022-08-01 06:01:07,2022-08-01,06:01:07,KarateEmil,"god damn, most definitely the best mobile game I've played in years", ,,general-chat
2022-08-01 06:00:40,2022-08-01,06:00:40,Ghoul,#fixtheservers, ,,general-chat
2022-08-01 06:00:32,2022-08-01,06:00:32,Ghoul,"Yeah, hoorible server lag atm!", ,,general-chat
2022-08-01 06:00:24,2022-08-01,06:00:24,Gregg2G,kidding btw, ,,general-chat
2022-08-01 06:00:19,2022-08-01,06:00:19,Ghoul,"but, to be fair, it also started 1 minute early 😄", ,,general-chat
2022-08-01 06:00:14+08:00,2022-08-01,06:00:14+08:00,Gregg2G,I'm leaving a bad review because of this!, ,,general-chat
2022-08-01 06:00:10,2022-08-01,06:00:10,battlebot579,https://tenor.com/view/press-f-pay-respect-coffin-burial-gif-12855021, ,,general-chat
2022-08-01 06:00:01,2022-08-01,06:00:01,battlebot579,rip, ,,general-chat
2022-08-01 05:59:47,2022-08-01,05:59:47,Ghoul,😄, ,,general-chat
2022-08-01 05:59:47,2022-08-01,05:59:47,Ghoul,Darn you UBI!!, ,,general-chat
2022-08-01 05:59:41,2022-08-01,05:59:41,Ghoul,1 minute too early!, ,,general-chat
2022-08-01 05:59:37,2022-08-01,05:59:37,SQ,RIP!, ,,general-chat
2022-08-01 05:59:27,2022-08-01,05:59:27,Ghoul,RIP!, ,,general-chat
2022-08-01 05:49:12,2022-08-01,05:49:12,Riggy Gaming,🤣, ,,general-chat
2022-08-01 05:48:59,2022-08-01,05:48:59,Ghoul,https://tenor.com/view/big-hero6-baymax-hiro-hamada-you-will-be-alright-there-there-gif-15857471, ,Riggy Gaming,general-chat
2022-08-01 05:46:44,2022-08-01,05:46:44,Riggy Gaming,https://tenor.com/view/bunny-rabbit-sad-tired-drag-gif-24495685, ,,general-chat
2022-08-01 05:33:31,2022-08-01,05:33:31,gkopou,https://c.tenor.com/iwCdVEVZhiYAAAAM/ace-ventura.gif, ,,general-chat
2022-08-01 05:33:10,2022-08-01,05:33:10,NiXko3nNeR,Samsung S21 FE 5G: All Setings on low. Game Crash every 3 min. in the Open World..., ,,feedback-and-bugs
2022-08-01 05:29:23,2022-08-01,05:29:23,Ghoul,https://tenor.com/view/final-countdown-countdown-europe-counting-music-video-gif-4789617, ,,general-chat
2022-08-01 05:25:46,2022-08-01,05:25:46,Gregg2G,34mins, ,,general-chat
2022-08-01 05:25:35,2022-08-01,05:25:35,SQ,one last hour😭, ,,general-chat
2022-08-01 05:22:08,2022-08-01,05:22:08,Ghoul,on my incompatible device 😛, ,,general-chat
2022-08-01 05:22:00,2022-08-01,05:22:00,Gregg2G,I presume you'll be able to scroll up and search if you're interested in our experiences., ,,general-chat
2022-08-01 05:21:56,2022-08-01,05:21:56,Ghoul,It was great!, ,,general-chat
2022-08-01 05:21:45,2022-08-01,05:21:45,Falail81,Bye all I hope to see you again as soon as possible 👋, ,,general-chat
2022-08-01 05:15:19,2022-08-01,05:15:19,MRKIPLING,Haven't had a chance to play, ,,general-chat
2022-08-01 05:15:06,2022-08-01,05:15:06,MRKIPLING,So how was the test 🤣, ,,general-chat
2022-08-01 04:59:17,2022-08-01,04:59:17,Jord,That way we can all stay in contact and enjoy a single place to chill and chat with each other as i know we have all become friends here 😊, ,,general-chat
2022-08-01 04:57:57,2022-08-01,04:57:57,Ghoul,"yes, off-topic needs to stay!", ,,general-chat
2022-08-01 04:57:49,2022-08-01,04:57:49,Ghoul,ignore my previous comment 😄, ,,general-chat
2022-08-01 04:57:35,2022-08-01,04:57:35,Ghoul,Ahh sorry, ,,general-chat
2022-08-01 04:57:22,2022-08-01,04:57:22,Gregg2G,I think beard follower means leaving off-topic channel unlocked, ,,general-chat
2022-08-01 04:57:19,2022-08-01,04:57:19,Jord,Its not closing Just chats are being locked out, ,,general-chat
2022-08-01 04:56:40,2022-08-01,04:56:40,Ghoul,"Server will ""Close""soon 😄 ther eis no more on topic!", ,,general-chat
2022-08-01 04:56:17,2022-08-01,04:56:17,Jord,Can we not get to keep off topic 😭, ,,general-chat
2022-08-01 04:55:14,2022-08-01,04:55:14,Ghoul,"Yeah, but in that context evan super mario has more realism 😂", ,,general-chat
2022-08-01 04:54:57,2022-08-01,04:54:57,Sternitzky,"There aren't the classical F2P & P2W mobile games alone, because companies like Feral Interactive bring well done ports from PC to our phones. Maybe Resurgence launches well enough to let Ubisoft consider porting their normal games and pushing cross-platform-play. One Ubisoft account, playing games on the move on phone, and continue home at console or PC.", ,Gregg2G,general-chat
2022-08-01 04:54:37,2022-08-01,04:54:37,Gregg2G,lol well more realism than something like quake borderlands or destiny ;P, ,,general-chat
2022-08-01 04:53:53,2022-08-01,04:53:53,Ghoul,naver had any 😂, ,,general-chat
2022-08-01 04:53:47,2022-08-01,04:53:47,Ghoul,The Division and realism?, ,,general-chat
2022-08-01 04:53:27,2022-08-01,04:53:27,Gregg2G,"Honestly nearly every thing in this game seems OP, I think they're throwing realism out the window in a way and just going for fun factor.", ,,general-chat
2022-08-01 04:52:36,2022-08-01,04:52:36,battlebot579,Gregg has been telling me about the heal build and it sounds op 😂, ,Fronamo🇦🇿,general-chat
2022-08-01 04:51:57,2022-08-01,04:51:57,battlebot579,💯, ,Gregg2G,general-chat
2022-08-01 04:49:36,2022-08-01,04:49:36,Gregg2G,"lol yea I don't really have a build to test it properly, gonna mess with it anyway for a bit", ,Ghoul,general-chat
2022-08-01 04:43:49,2022-08-01,04:43:49,Sternitzky,"At least we could read, what Ubisoft wants to share with us. Until we are allowed to write again. Better than nothing.", ,D3LT4_Moody,general-chat
2022-08-01 04:43:28,2022-08-01,04:43:28,Riggy Gaming,😅, ,,general-chat
2022-08-01 04:43:26,2022-08-01,04:43:26,Riggy Gaming,Can't wait for more, ,,general-chat
2022-08-01 04:43:18,2022-08-01,04:43:18,Riggy Gaming,I like it, ,,general-chat
2022-08-01 04:42:41,2022-08-01,04:42:41,Fronamo🇦🇿,"Well, what are your impressions of the game?  of course, while work is underway on the game, fixing bugs and improving optimization, but I liked it)the most interesting for me is PVP😈", ,,general-chat
2022-08-01 04:42:35,2022-08-01,04:42:35,Riggy Gaming,Honestly this is one of the best community I have seen on the mobile scene in a while 😎, ,,general-chat
2022-08-01 04:42:25,2022-08-01,04:42:25,Ghoul,And now there is no more time to test it lmao Xd, ,,general-chat
2022-08-01 04:42:12,2022-08-01,04:42:12,Gregg2G,YESSSSSSSS, ,,general-chat
2022-08-01 04:42:11,2022-08-01,04:42:11,Ghoul,😂, ,,general-chat
2022-08-01 04:42:06,2022-08-01,04:42:06,Gregg2G,I GOT A DIAMONDBACK, ,,general-chat
2022-08-01 04:41:30,2022-08-01,04:41:30,Ghoul,"Cya Gregg, it's been a pleasure 🙂", ,,general-chat
2022-08-01 04:34:42,2022-08-01,04:34:42,Gregg2G,Yeah! In case I don't get to say so before things close. It was great to meet you all and I have high hopes for this game right now. I wanted to quit mobile gaming after Diablo Immortal because I was looking forward to that game so much for years and what they did with that game has almost ruined the franchise for me.This game has restored my hopes for mobile gaming for the time being., ,,general-chat
2022-08-01 04:33:48,2022-08-01,04:33:48,Ghoul,"I mean, see you soon 😄", ,,general-chat
2022-08-01 04:33:42,2022-08-01,04:33:42,Ghoul,"Moody, sleep well and never return to this server !", ,D3LT4_Moody,general-chat
2022-08-01 04:31:41,2022-08-01,04:31:41,D3LT4_Moody,"Well, I'm headed off to bed, so good night 😴...Nice to meet you guys, Hope to talk to many of you the next time around 😊Stay safe buttholes 🙃💙", ,,general-chat
2022-08-01 04:22:51,2022-08-01,04:22:51,Revectane,lol, ,,general-chat
2022-08-01 04:21:17,2022-08-01,04:21:17,TheCrusader,"AgentlewisOppo X3 neoExotic scope glitchJust after a cutsceen or start of mission section the zoom on the diamondback zoomed in super far, estimated 20X possibly 40X.Way to replicate is by after cutsceen use diamondback scope imidiatly and that's all", ,,feedback-and-bugs
2022-08-01 04:19:18,2022-08-01,04:19:18,TheCrusader,"AgentlewisOPPO X3 neoCrashI was playing with a random in matchmaking and they went afk, I continued and just before you start the first section of the boss on a new enemy mission it crashed when I was walking to the next section because it doesn't teleport you after cutsceen unless host has finished too", ,,feedback-and-bugs
2022-08-01 04:17:11,2022-08-01,04:17:11,TheCrusader,2 bug reports inbound stand by, ,,feedback-and-bugs
2022-08-01 04:14:18,2022-08-01,04:14:18,D3LT4_Moody,"So basically, the server stays but we won't be able to talk till the next test?!?", ,,general-chat
2022-08-01 04:14:09,2022-08-01,04:14:09,Gregg2G,"Not Shroud, Smoke lol", ,,general-chat
2022-08-01 04:13:58,2022-08-01,04:13:58,Gregg2G,made level 30 I'm happy with that. I wonder if anyone is higher than ~~Shroud ~~at 37, ,,general-chat
2022-08-01 04:10:52,2022-08-01,04:10:52,Riggy Gaming,https://tenor.com/view/yes-will-ferrell-awesome-gif-14597941, ,,general-chat
2022-08-01 04:10:17,2022-08-01,04:10:17,Gregg2G,https://tenor.com/view/desi-banks-getting-crunk-happy-dance-hell-yeah-gif-15119215, ,battlebot579,general-chat
2022-08-01 04:05:36,2022-08-01,04:05:36,battlebot579,why u leaving doe the servers not going anywhere, ,perry.bad,general-chat
2022-08-01 04:04:33,2022-08-01,04:04:33,battlebot579,I think we persuaded James to let us keep it as the official discord when the game launches, ,,general-chat
2022-08-01 04:04:06,2022-08-01,04:04:06,battlebot579,The chat channels are gonna be closed, ,,general-chat
2022-08-01 04:03:51,2022-08-01,04:03:51,battlebot579,Its not getting deleted, ,ExoDus291,general-chat
2022-08-01 04:03:17,2022-08-01,04:03:17,perry.bad,Anyone who wants to dunk on division 1 hmu same uplay!, ,,general-chat
2022-08-01 04:02:51,2022-08-01,04:02:51,ExoDus291,>:(, ,,general-chat
2022-08-01 04:02:48,2022-08-01,04:02:48,ExoDus291,Same, ,,general-chat
2022-08-01 04:02:31,2022-08-01,04:02:31,perry.bad,Hate you all, ,,general-chat
2022-08-01 04:02:26,2022-08-01,04:02:26,perry.bad,Bye, ,,general-chat
2022-08-01 04:01:35,2022-08-01,04:01:35,ExoDus291,One last goodbye, ,,general-chat
2022-08-01 04:01:32,2022-08-01,04:01:32,ExoDus291,Or the server is deleted, ,,general-chat
2022-08-01 04:01:26,2022-08-01,04:01:26,ExoDus291,*Ping everyone when we have to leave.*, ,,general-chat
2022-08-01 04:01:22,2022-08-01,04:01:22,Caiucleto,👍, ,Riggy Gaming,general-chat
2022-08-01 04:01:18,2022-08-01,04:01:18,ExoDus291,You and your beatiful beard., ,,general-chat
2022-08-01 04:01:11,2022-08-01,04:01:11,ExoDus291,James., ,,general-chat
2022-08-01 04:00:52,2022-08-01,04:00:52,battlebot579,"    chat channels should be locked, but they might stay open until monday depending on whether the devs who are on now are allowed to or if it has to be James, also they could have changed their minds but that was the plan", ,D3LT4_Moody,general-chat
2022-08-01 03:58:38,2022-08-01,03:58:38,D3LT4_Moody,  You got any info?, ,battlebot579,general-chat
2022-08-01 03:58:11,2022-08-01,03:58:11,ExoDus291,Probably not, ,,general-chat
2022-08-01 03:58:08,2022-08-01,03:58:08,Sternitzky,Good question. I'm interested too., ,D3LT4_Moody,general-chat
2022-08-01 03:55:33,2022-08-01,03:55:33,D3LT4_Moody,Anyone know if the discord will stay open after today?, ,,general-chat
2022-08-01 03:48:50,2022-08-01,03:48:50,Riggy Gaming,Keeping true to the name I see 😅, ,Caiucleto,general-chat
2022-08-01 03:19:54,2022-08-01,03:19:54,Gregg2G,hit 750 engineering tho ;D, ,,general-chat
2022-08-01 03:13:00,2022-08-01,03:13:00,D3LT4_Moody,same here 😐, ,Gregg2G,general-chat
2022-08-01 03:12:58,2022-08-01,03:12:58,Sternitzky,"Ubisoft ain't a backyard publisher. Based on its former published titles, what do you think? Would be really odd, if they'd change their behavior...", ,Falail81,general-chat
2022-08-01 03:06:50,2022-08-01,03:06:50,jestmi,"I'm expecting crafting times and crafting slots to be monetised somehow, be it behind a sub, or a flat purchase", ,,feedback-and-bugs
2022-08-01 03:04:40,2022-08-01,03:04:40,jestmi,"I'd be extremely surprised if crafting costs and times stayed the same tbh. Timers are probably there just for testing purposes, but having anything approaching real timers would make crafts testing much harder with only X amount of people", ,,feedback-and-bugs
2022-08-01 03:01:20,2022-08-01,03:01:20,Caiucleto,🥑, ,,general-chat
2022-08-01 03:00:54,2022-08-01,03:00:54,gkopou,"Actually, I am expecting the crafting time to be increased. When you make 6 items in each category +7 it gives you bonus +12% armor and health, at the moment. Meaning you can have a total bonus of just over 70% armor and health just by crafting.", ,battlebot579,feedback-and-bugs
2022-08-01 03:00:35,2022-08-01,03:00:35,jestmi,"Story itself is a bit rushed at 1st. If you have very little prior care or knowledge about what The Division is, the world feels inch deep. It gets better over time, I hope it will keep getting better with more of the game released. The fact that the game is fully voice acted is great. While sometimes it can feel weird and janky (in particular during open world quests), the main storyline itself has decent or better voice acting, depending on exact character", ,,feedback-and-bugs
2022-08-01 02:55:51,2022-08-01,02:55:51,Gregg2G,man I'm just not getting a diamondback I guess 😭, ,,general-chat
2022-08-01 02:54:54,2022-08-01,02:54:54,jestmi,"The open world events need rebalancing. Opening the cashes is very fast, same with hostage saving. It's just 3 groups of enemies, even if it's a bigger group at least it's constant action. Arms deal and outpost in comparison are 3x as long. I didn't notice if the rewards are better, or if there is some other reason for that imbalance.", ,,feedback-and-bugs
2022-08-01 02:50:36,2022-08-01,02:50:36,jestmi,"Crafting feels... Well, it feels weird. Having gear proficiency built into a crafting system is weird. I know games - mobile in particular - like to intertwine their mechanics, but that seems somewhat ham fisted, at least to me.", ,,feedback-and-bugs
2022-08-01 02:47:45,2022-08-01,02:47:45,jestmi,"Final feedback: the gameplay is solid, although repetitive. Just like in division 2 the gunplay is diverse between the gun types, with minor variety within a class. The enemies are tanky. Spongy even. Having to unload a full LMG mag at a purple enemy doesn't feel right. The abilities are very different from one another and from my experience paired well for their specialisations. Specialisations themselves might need to be balanced though, since some seem more useful than others.Gameplay is repetitive. Most looter shooters have either extremely varied, or randomly generated/featuring more RNG. I assume the drop tables will be changed at final release, otherwise people will just farm one or two fastest missions.Even within missions, once I've played them half a dozen times I found myself just prefiering or pretrapping enemy spawn points. Making spawns more varied and/or slightly random might help with that.Exotic gear is much more powerful than standard gear, not just stat-wise, but also by allowing you a different playstyle. I am conflicted on that, as this can be great for character progression, but at the same time being locked into a particular firearm type doesn't sound perfect.", ,,feedback-and-bugs
2022-08-01 02:40:38,2022-08-01,02:40:38,Ghoul,😂, ,,feedback-and-bugs
2022-08-01 02:40:33,2022-08-01,02:40:33,Riggy Gaming,Lol, ,,feedback-and-bugs
2022-08-01 02:40:23,2022-08-01,02:40:23,Ghoul,"Please, do not spread lies", ,Riggy Gaming,feedback-and-bugs
2022-08-01 02:32:53,2022-08-01,02:32:53,Riggy Gaming,I first saw that on Twitter, ,,feedback-and-bugs
2022-08-01 02:32:38,2022-08-01,02:32:38,battlebot579,yeah I managed to make battlebotsgift while the server was quiet for a few hours, ,,feedback-and-bugs
2022-08-01 02:32:11,2022-08-01,02:32:11,Riggy Gaming,And also made that little thing for the UI and that too, ,,feedback-and-bugs
2022-08-01 02:31:44,2022-08-01,02:31:44,Riggy Gaming,Doing a great job, ,,feedback-and-bugs
2022-08-01 02:31:36,2022-08-01,02:31:36,Riggy Gaming,👍, ,,feedback-and-bugs
2022-08-01 02:31:30,2022-08-01,02:31:30,battlebot579,and I have been flagging every single NDA breaking video I have seen on yt to James as well, ,,feedback-and-bugs
2022-08-01 02:29:41,2022-08-01,02:29:41,Riggy Gaming,😅, ,,feedback-and-bugs
